Key_Dataset,Key_Run,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Num_Fold,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
abelha_anomalia_3h_k2,1,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2",-5.99061E+18,10,2.02E+07,667.8,74.2,68.5,5.7,0,92.31711712,7.682882883,0,0.402390665,0.134550157,0.265179804,72.86706808,87.57382993,35.37289893,29.17421323,6.198685702,0.476688161,0.393232693,0.083455468,9.372788879,0.126235697,1953.028452,0.993984622,66.2,0.7,5.3,0.3,2.3,0.006015378,0.4,0.926015853,0.993984622,0.958737133,0.474010265,0.531264942,0.887625495,0.923171171,0.629186549,0.370813451,0.076828829,0.921390093,0.923171171,0.905055609,0.474010265,0.531264942,0.841647965,0.6950465,0.923171171,0.2825,1.00E-04,0.2796875,0,279.6875,0,11222,63511.4,8306.6,99.59459459,98.38198198,?
abelha_anomalia_3h_k2,2,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2",-5.99061E+18,10,2.02E+07,667.8,74.2,68.1,6.1,0,91.78378378,8.216216216,0,0.36696564,0.141575518,0.273673998,76.5141373,90.22333119,35.37289893,30.89687072,4.476028212,0.476688161,0.416204284,0.060483877,7.706695364,0.104011434,1603.493354,0.991022162,66,0.719642857,5.5,0.280357143,2.1,0.008977838,0.6,0.923303474,0.991022162,0.955883142,0.427656141,0.542242521,0.893597003,0.917837838,0.646458533,0.353541467,0.082162162,0.909386903,0.917837838,0.898410678,0.427656141,0.542242521,0.844942378,0.676981975,0.917837838,0.2876,0,0.278125,0,278.125,0,11222,63511.4,8306.6,99.5963964,98.58288288,?
abelha_anomalia_3h_k2,3,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2",-5.99061E+18,10,2.02E+07,667.8,74.2,68.3,5.9,0,92.04144144,7.958558559,0,0.364487274,0.13449458,0.267057347,72.8187535,88.16717891,35.37289893,29.68292661,5.689972321,0.476688161,0.400292989,0.076395172,9.266772497,0.124625883,1930.635924,0.992537313,66.1,0.708928571,5.4,0.291071429,2.2,0.007462687,0.5,0.925040795,0.992537313,0.957351551,0.430141733,0.543900627,0.893743486,0.920414414,0.636805672,0.363194328,0.079585586,0.910974659,0.920414414,0.898915934,0.430141733,0.543900627,0.845996633,0.6733844,0.920414414,0.3017,3.00E-04,0.2921875,0,292.1875,0,11222,63511.4,8306.6,99.73153153,98.52252252,?
abelha_anomalia_3h_k2,4,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2",-5.99061E+18,10,2.02E+07,667.8,74.2,68.6,5.6,0,92.45405405,7.545945946,0,0.401461655,0.135317823,0.262030782,73.20127161,86.50038547,35.37289893,28.27003591,7.102863027,0.476688161,0.380956355,0.095731806,8.938479355,0.120459579,1861.879439,0.995522388,66.3,0.696428571,5.3,0.303571429,2.3,0.004477612,0.3,0.926293726,0.995522388,0.95954996,0.462893511,0.532375057,0.881749014,0.924540541,0.625446724,0.374553276,0.075459459,0.91532825,0.924540541,0.904952906,0.462893511,0.532375057,0.836722402,0.693083061,0.924540541,0.2891,0,0.2765625,0,276.5625,0,11222,63511.4,8306.6,100,98.58468468,?
abelha_anomalia_3h_k2,5,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2",-5.99061E+18,10,2.02E+07,667.8,74.2,68.6,5.6,0,92.45045045,7.54954955,0,0.380197833,0.128688573,0.260239487,69.71649003,85.99378348,35.37289893,28.22484303,7.148055907,0.476688161,0.380512973,0.096175188,10.28067571,0.138409408,2142.694259,0.99547716,66.3,0.703571429,5.3,0.296428571,2.3,0.00452284,0.3,0.926384697,0.99547716,0.959568513,0.429582062,0.528503586,0.887904766,0.924504505,0.632598773,0.367401227,0.075495495,0.906846865,0.924504505,0.903326717,0.429582062,0.528503586,0.840899425,0.681136238,0.924504505,0.2985,0,0.284375,0,284.375,0,11222,63511.4,8306.6,99.86486486,98.45135135,?
abelha_anomalia_3h_k2,6,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2",-5.99061E+18,10,2.02E+07,667.8,74.2,68.3,5.9,0,92.04684685,7.953153153,0,0.385017824,0.135978193,0.267430903,73.65227862,88.27961939,35.37289893,29.36107365,6.011825282,0.476688161,0.395726478,0.080961683,8.79372713,0.118418758,1832.406243,0.992492085,66.1,0.7125,5.4,0.2875,2.2,0.007507915,0.5,0.92455762,0.992492085,0.957269256,0.455030558,0.534205999,0.887658059,0.920468468,0.640476383,0.359523617,0.079531532,0.91679409,0.920468468,0.902024304,0.455030558,0.534205999,0.841201125,0.686361901,0.920468468,0.2934,1.00E-04,0.2859375,0,285.9375,0,11222,63511.4,8306.6,99.73153153,98.38468468,?
abelha_anomalia_3h_k2,7,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2",-5.99061E+18,10,2.02E+07,667.8,74.2,68.6,5.6,0,92.44864865,7.551351351,0,0.39792036,0.130286571,0.261492351,70.66317213,86.44077475,35.37289893,28.503624,6.869274938,0.476688161,0.384311169,0.092376992,10.06081033,0.135403445,2097.907332,0.995522388,66.3,0.701785714,5.3,0.298214286,2.3,0.004477612,0.3,0.926198201,0.995522388,0.959542836,0.462579637,0.533834884,0.885471566,0.924486486,0.630749813,0.369250187,0.075513514,0.917979227,0.924486486,0.905323803,0.462579637,0.533834884,0.839601553,0.69217235,0.924486486,0.3151,1.00E-04,0.3125,0,312.5,0,11222,63511.4,8306.6,99.86486486,98.51981982,?
abelha_anomalia_3h_k2,8,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2",-5.99061E+18,10,2.02E+07,667.8,74.2,68.5,5.7,0,92.32252252,7.677477477,0,0.413441322,0.13131908,0.264258552,71.05298906,87.20000038,35.37289893,28.82372671,6.54917222,0.476688161,0.388338755,0.088349406,9.647208258,0.130103511,2009.062829,0.994029851,66.2,0.694642857,5.3,0.305357143,2.3,0.005970149,0.4,0.926023005,0.994029851,0.958749814,0.484645508,0.541272533,0.885558529,0.923225225,0.623838232,0.376161768,0.076774775,0.921381097,0.923225225,0.905809966,0.484645508,0.541272533,0.839202626,0.701142584,0.923225225,0.29,1.00E-04,0.28125,0,281.25,0,11222,63511.4,8306.6,99.72972973,98.58378378,?
abelha_anomalia_3h_k2,9,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2",-5.99061E+18,10,2.02E+07,667.8,74.2,68.6,5.6,0,92.45045045,7.54954955,0,0.411629784,0.130758696,0.262802543,70.83426977,86.73950175,35.37289893,28.93570286,6.437196078,0.476688161,0.390061176,0.086626985,10.01321097,0.134835647,2086.136098,0.995499774,66.3,0.698214286,5.3,0.301785714,2.3,0.004500226,0.3,0.926071007,0.995499774,0.959491839,0.483631177,0.546206468,0.889021984,0.924504505,0.627219016,0.372780984,0.075495495,0.921954572,0.924504505,0.906488889,0.483631177,0.546206468,0.84385249,0.699922687,0.924504505,0.2926,2.00E-04,0.2859375,0,285.9375,0,11222,63511.4,8306.6,99.72972973,98.45045045,?
abelha_anomalia_3h_k2,10,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2",-5.99061E+18,10,2.02E+07,667.8,74.2,68.1,6.1,0,91.78558559,8.214414414,0,0.373242242,0.134494379,0.271070193,72.64723195,89.24721122,35.37289893,30.31952001,5.053378925,0.476688161,0.40831454,0.068373621,8.633803018,0.116543176,1795.151013,0.989439168,65.9,0.705357143,5.4,0.294642857,2.2,0.010560832,0.7,0.924636936,0.989439168,0.955753651,0.428128512,0.549116835,0.885820654,0.917855856,0.633773831,0.366226169,0.082144144,0.905660322,0.917855856,0.898482795,0.428128512,0.549116835,0.839935076,0.679038442,0.917855856,0.2883,2.00E-04,0.2859375,0,285.9375,0,11222,63511.4,8306.6,99.73153153,98.51531532,?
abelha_anomalia_3h_k2,11,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2",-5.99061E+18,10,2.02E+07,667.8,74.2,68.3,5.9,0,92.04684685,7.953153153,0,0.358218527,0.132903283,0.265782193,71.83820521,87.64347222,35.37289893,29.22153118,6.151367751,0.476688161,0.393885995,0.082802166,9.467569483,0.127501993,1970.552599,0.994007237,66.2,0.723214286,5.5,0.276785714,2.1,0.005992763,0.4,0.923607619,0.994007237,0.957405444,0.406588804,0.533281644,0.886305289,0.920468468,0.649675518,0.350324482,0.079531532,0.901673376,0.920468468,0.898558769,0.406588804,0.533281644,0.839537377,0.670330539,0.920468468,0.2904,1.00E-04,0.290625,0,290.625,0,11222,63511.4,8306.6,99.86666667,98.72072072,?
abelha_anomalia_3h_k2,12,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2",-5.99061E+18,10,2.02E+07,667.8,74.2,68.4,5.8,0,92.18558559,7.814414414,0,0.367915736,0.13204959,0.263670961,71.55711741,87.09504009,35.37289893,28.81869705,6.554201885,0.476688161,0.388238416,0.088449745,9.77495963,0.131778939,2037.197287,0.994007237,66.2,0.716071429,5.4,0.283928571,2.2,0.005992763,0.4,0.924970674,0.994007237,0.958152729,0.428907339,0.535680364,0.886428188,0.921855856,0.643920048,0.356079952,0.078144144,0.910051926,0.921855856,0.900943276,0.428907339,0.535680364,0.83915656,0.676130977,0.921855856,0.3182,0,0.2984375,0.003125,298.4375,3.125,11222,63511.4,8306.6,99.86666667,98.58648649,?
abelha_anomalia_3h_k2,13,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2",-5.99061E+18,10,2.02E+07,667.8,74.2,68.4,5.8,0,92.18558559,7.814414414,0,0.401107004,0.135754601,0.268332998,73.48588244,88.5636651,35.37289893,30.26563161,5.107267322,0.476688161,0.407826891,0.06886127,8.834861579,0.119120075,1840.272222,0.992537313,66.1,0.692857143,5.3,0.307142857,2.3,0.007462687,0.5,0.926083443,0.992537313,0.958018086,0.473303387,0.542887026,0.885375714,0.921855856,0.622175685,0.377824315,0.078144144,0.922054327,0.921855856,0.903640131,0.473303387,0.542887026,0.838811085,0.694110053,0.921855856,0.2745,0,0.2734375,0,273.4375,0,11222,63511.4,8306.6,99.45945946,98.31261261,?
