@relation InstanceResultListener

@attribute Key_Dataset {abelha_anomalia_12h_k11}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30}
@attribute Key_Scheme {weka.classifiers.trees.RandomForest}
@attribute Key_Scheme_options {'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1'}
@attribute Key_Scheme_version_ID {1116839470751428698}
@attribute Num_Fold numeric
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data

abelha_anomalia_12h_k11,1,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,10,20170926.0328,659.7,73.3,66.4,6.9,0,90.584969,9.415031,0,0.291598,0.157876,0.287641,79.946241,91.758631,36.757841,32.998782,3.759059,0.501445,0.45015,0.051295,-1.662825,-0.022839,-328.823912,0.990769,64.6,0.777778,6.3,0.222222,1.8,0.009231,0.6,0.911389,0.990769,0.949349,0.338253,0.727558,0.947448,0.90585,0.692858,0.307142,0.09415,0.880242,0.90585,0.880109,0.338253,0.727558,0.892811,0.635735,0.90585,0.4147,0.0123,0.409375,0.010937,409.375,10.9375,3123503.2,62760.1,8224.9,97.001111,75.580341,?,-1
abelha_anomalia_12h_k11,2,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,10,20170926.0328,659.7,73.3,66.2,7.1,0,90.314698,9.685302,0,0.280678,0.162534,0.290202,82.283134,92.575766,36.757841,139.772528,-103.014687,0.501445,1.912746,-1.411301,-3.427775,-0.046647,-679.307194,0.987739,64.4,0.777778,6.3,0.222222,1.8,0.012261,0.8,0.911191,0.987739,0.947824,0.322743,0.736494,0.948225,0.903147,0.693186,0.306814,0.096853,0.878056,0.903147,0.877815,0.322743,0.736494,0.892591,0.630711,0.903147,0.4274,0.0146,0.4125,0.015625,412.5,15.625,3121254.8,62760.1,8224.9,97.410218,76.676231,?,-1
abelha_anomalia_12h_k11,3,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,10,20170926.0328,659.7,73.3,66.5,6.8,0,90.729359,9.270641,0,0.312236,0.159928,0.288032,80.938846,91.870923,36.757841,139.492792,-102.734951,0.501445,1.90906,-1.407615,-2.246706,-0.030693,-445.966056,0.990816,64.6,0.7625,6.2,0.2375,1.9,0.009184,0.6,0.91277,0.990816,0.950079,0.370412,0.728892,0.946964,0.907294,0.678978,0.321022,0.092706,0.889016,0.907294,0.882602,0.370412,0.728892,0.892375,0.646465,0.907294,0.3936,0.0108,0.384375,0.010937,384.375,10.9375,3122348.3,62760.1,8224.9,97.132544,76.464272,?,-1
abelha_anomalia_12h_k11,4,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,10,20170926.0328,659.7,73.3,66.5,6.8,0,90.723806,9.276194,0,0.29107,0.158658,0.286149,80.391369,91.370222,36.757841,138.633622,-101.875781,0.501445,1.87746,-1.376015,-1.696688,-0.0232,-334.713319,0.992378,64.7,0.781944,6.3,0.218056,1.8,0.007622,0.5,0.911511,0.992378,0.950135,0.361257,0.751341,0.9524,0.907238,0.696805,0.303195,0.092762,0.893963,0.907238,0.880915,0.361257,0.751341,0.89768,0.634721,0.907238,0.4035,0.0149,0.396875,0.014062,396.875,14.0625,3120680.2,62760.1,8224.9,97.545354,75.992225,?,-1
abelha_anomalia_12h_k11,5,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,10,20170926.0328,659.7,73.3,66.1,7.2,0,90.181414,9.818586,0,0.293761,0.159647,0.289062,80.860262,92.243018,36.757841,246.113232,-209.355391,0.501445,3.369364,-2.867919,-2.344685,-0.032035,-463.343171,0.984662,64.2,0.766667,6.2,0.233333,1.9,0.015338,1,0.912129,0.984662,0.946939,0.332845,0.736838,0.947021,0.901814,0.683819,0.316181,0.098186,0.877375,0.901814,0.879157,0.332845,0.736838,0.892803,0.638924,0.901814,0.4535,0.0187,0.4375,0.020312,437.5,20.3125,3119738,62760.1,8224.9,97.410218,75.38134,?,-1
abelha_anomalia_12h_k11,6,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,10,20170926.03289,659.7,73.3,66.5,6.8,0,90.718252,9.281748,0,0.310531,0.159258,0.288481,80.65954,92.066323,36.757841,139.58033,-102.822489,0.501445,1.910331,-1.408886,-2.616008,-0.035941,-517.177022,0.990793,64.6,0.766667,6.2,0.233333,1.9,0.009207,0.6,0.91257,0.990793,0.949995,0.370077,0.731764,0.945883,0.907183,0.683057,0.316943,0.092817,0.890498,0.907183,0.882967,0.370077,0.731764,0.891179,0.646004,0.907183,0.509,0.022,0.435938,0.021875,435.9375,21.875,3117565.9,62760.1,8224.9,97.954461,76.120881,?,-1
abelha_anomalia_12h_k11,7,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,10,20170926.0329,659.7,73.3,66.4,6.9,0,90.583117,9.416883,0,0.303028,0.15942,0.289402,80.708576,92.320604,36.757841,139.426199,-102.668358,0.501445,1.888503,-1.387058,-2.58935,-0.035322,-512.951142,0.989254,64.5,0.766667,6.2,0.233333,1.9,0.010746,0.7,0.912498,0.989254,0.94922,0.363078,0.735884,0.950277,0.905831,0.683244,0.316756,0.094169,0.890123,0.905831,0.881432,0.363078,0.735884,0.895054,0.641925,0.905831,0.3972,0.0172,0.396875,0.01875,396.875,18.75,3134524.8,62760.1,8224.9,97.265827,75.576638,?,-1
abelha_anomalia_12h_k11,8,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,10,20170926.0329,659.7,73.3,66.6,6.7,0,90.862643,9.137357,0,0.330058,0.15718,0.28361,79.562138,90.461068,36.757841,32.079264,4.678577,0.501445,0.437312,0.064133,-1.664654,-0.022617,-330.233683,0.990816,64.6,0.754167,6.1,0.245833,2,0.009184,0.6,0.913846,0.990816,0.950726,0.402473,0.745672,0.951882,0.908626,0.671977,0.328023,0.091374,0.902157,0.908626,0.885961,0.402473,0.745672,0.899135,0.657026,0.908626,0.5324,0.0264,0.432812,0.020313,432.8125,20.3125,3131582.2,62760.1,8224.9,97.413921,75.994076,?,-1
abelha_anomalia_12h_k11,9,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,10,20170926.0329,659.7,73.3,66.5,6.8,0,90.721955,9.278045,0,0.319401,0.160368,0.28776,81.209339,91.814129,36.757841,246.90409,-210.146248,0.501445,3.380262,-2.878817,-2.810744,-0.038287,-556.428809,0.989254,64.5,0.754167,6.1,0.245833,2,0.010746,0.7,0.913769,0.989254,0.949938,0.365158,0.719185,0.940076,0.90722,0.672132,0.327868,0.09278,0.884788,0.90722,0.883999,0.365158,0.719185,0.886345,0.650925,0.90722,0.4628,0.0193,0.43125,0.017188,431.25,17.1875,3119187.2,62760.1,8224.9,97.41207,76.602184,?,-1
