Key_Dataset,Key_Run,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Num_Fold,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureOutOfBagError
abelha_anomalia_12h_k11,1,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.11684E+18,10,2.02E+07,659.7,73.3,66.4,6.9,0,90.58496853,9.41503147,0,0.291598249,0.15787574,0.287640601,79.9462413,91.75863126,36.75784132,32.99878187,3.759059447,0.501445115,0.450149749,0.051295366,-1.662824858,-0.022839248,-328.8239123,0.990769231,64.6,0.777777778,6.3,0.222222222,1.8,0.009230769,0.6,0.911388836,0.990769231,0.949348591,0.33825309,0.727558275,0.947448481,0.905849685,0.692858232,0.307141768,0.094150315,0.880242396,0.905849685,0.880108656,0.33825309,0.727558275,0.89281114,0.635734902,0.905849685,0.4416,0.0147,0.4296875,0.0140625,429.6875,14.0625,3123503.2,62760.1,8224.9,97.0011107,75.58034061,?,-1
abelha_anomalia_12h_k11,2,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.11684E+18,10,2.02E+07,659.7,73.3,66.2,7.1,0,90.31469826,9.68530174,0,0.280677544,0.162533738,0.290201751,82.28313354,92.57576639,36.75784132,139.7725284,-103.0146871,0.501445115,1.912746354,-1.411301239,-3.427775105,-0.046647054,-679.3071938,0.987738928,64.4,0.777777778,6.3,0.222222222,1.8,0.012261072,0.8,0.911190808,0.987738928,0.947824072,0.322742533,0.736493784,0.948225414,0.903146983,0.693185833,0.306814167,0.096853017,0.878056492,0.903146983,0.877814835,0.322742533,0.736493784,0.892591173,0.630710793,0.903146983,0.4173,0.0154,0.4078125,0.015625,407.8125,15.625,3121254.8,62760.1,8224.9,97.41021844,76.67623103,?,-1
abelha_anomalia_12h_k11,3,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.11684E+18,10,2.02E+07,659.7,73.3,66.5,6.8,0,90.7293595,9.270640504,0,0.312235761,0.159928175,0.288032371,80.93884554,91.87092259,36.75784132,139.4927923,-102.7349509,0.501445115,1.909060005,-1.40761489,-2.246705753,-0.030693466,-445.9660557,0.990815851,64.6,0.7625,6.2,0.2375,1.9,0.009184149,0.6,0.912770253,0.990815851,0.950078505,0.370412422,0.728891803,0.946963557,0.907293595,0.678977744,0.321022256,0.092706405,0.889015781,0.907293595,0.882601596,0.370412422,0.728891803,0.892374984,0.646465049,0.907293595,0.4091,0.0149,0.403125,0.015625,403.125,15.625,3122348.3,62760.1,8224.9,97.1325435,76.46427249,?,-1
abelha_anomalia_12h_k11,4,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.11684E+18,10,2.02E+07,659.7,73.3,66.5,6.8,0,90.723806,9.276194002,0,0.291070253,0.158658228,0.286148536,80.39136914,91.37022249,36.75784132,138.6336219,-101.8757806,0.501445115,1.877460322,-1.376015207,-1.696688463,-0.023200013,-334.7133187,0.992377622,64.7,0.781944444,6.3,0.218055556,1.8,0.007622378,0.5,0.911511416,0.992377622,0.9501345,0.361257025,0.751340812,0.952399699,0.90723806,0.696804882,0.303195118,0.09276194,0.893963349,0.90723806,0.880915136,0.361257025,0.751340812,0.897680247,0.63472093,0.90723806,0.4208,0.0126,0.4203125,0.009375,420.3125,9.375,3120680.2,62760.1,8224.9,97.54535357,75.9922251,?,-1
abelha_anomalia_12h_k11,5,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.11684E+18,10,2.02E+07,659.7,73.3,66.1,7.2,0,90.18141429,9.818585709,0,0.293761176,0.15964726,0.289062355,80.86026217,92.24301756,36.75784132,246.113232,-209.3553907,0.501445115,3.369364116,-2.867919001,-2.344685131,-0.032035251,-463.3431707,0.984662005,64.2,0.766666667,6.2,0.233333333,1.9,0.015337995,1,0.912129051,0.984662005,0.946938859,0.332845016,0.736838092,0.947021363,0.901814143,0.683818805,0.316181195,0.098185857,0.877375291,0.901814143,0.879157196,0.332845016,0.736838092,0.892802939,0.638923975,0.901814143,0.4299,0.0144,0.4234375,0.0140625,423.4375,14.0625,3119738,62760.1,8224.9,97.41021844,75.38134024,?,-1
abelha_anomalia_12h_k11,6,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.11684E+18,10,2.02E+07,659.7,73.3,66.5,6.8,0,90.7182525,9.281747501,0,0.31053071,0.159258053,0.288481143,80.65953982,92.06632328,36.75784132,139.5803303,-102.822489,0.501445115,1.910330711,-1.408885596,-2.616008105,-0.0359407,-517.1770221,0.990792541,64.6,0.766666667,6.2,0.233333333,1.9,0.009207459,0.6,0.912569554,0.990792541,0.949994875,0.370077208,0.731764277,0.945882555,0.907182525,0.683056651,0.316943349,0.092817475,0.890498255,0.907182525,0.882966702,0.370077208,0.731764277,0.891178831,0.646003653,0.907182525,0.4083,0.016,0.40625,0.015625,406.25,15.625,3117565.9,62760.1,8224.9,97.95446131,76.12088116,?,-1
abelha_anomalia_12h_k11,7,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.11684E+18,10,2.02E+07,659.7,73.3,66.4,6.9,0,90.58311736,9.416882636,0,0.303027619,0.159419706,0.289401519,80.70857645,92.32060437,36.75784132,139.426199,-102.6683576,0.501445115,1.88850345,-1.387058335,-2.589349632,-0.035321753,-512.9511417,0.989254079,64.5,0.766666667,6.2,0.233333333,1.9,0.010745921,0.7,0.912498427,0.989254079,0.949219781,0.363077792,0.735884324,0.950277357,0.905831174,0.683243761,0.316756239,0.094168826,0.890123245,0.905831174,0.881431991,0.363077792,0.735884324,0.895054169,0.641925353,0.905831174,0.4274,0.014,0.409375,0.0109375,409.375,10.9375,3134524.8,62760.1,8224.9,97.26582747,75.57663828,?,-1
abelha_anomalia_12h_k11,8,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.11684E+18,10,2.02E+07,659.7,73.3,66.6,6.7,0,90.86264347,9.137356535,0,0.330057859,0.157179841,0.283610191,79.5621378,90.46106798,36.75784132,32.07926426,4.678577053,0.501445115,0.437311867,0.064133248,-1.664653795,-0.022617141,-330.2336831,0.990815851,64.6,0.754166667,6.1,0.245833333,2,0.009184149,0.6,0.913846169,0.990815851,0.950725622,0.402472817,0.745672106,0.951881963,0.908626435,0.671977251,0.328022749,0.091373565,0.902157227,0.908626435,0.885961352,0.402472817,0.745672106,0.899135319,0.657025593,0.908626435,0.418,0.0141,0.409375,0.0125,409.375,12.5,3131582.2,62760.1,8224.9,97.41392077,75.99407627,?,-1
abelha_anomalia_12h_k11,9,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.11684E+18,10,2.02E+07,659.7,73.3,66.5,6.8,0,90.72195483,9.278045168,0,0.31940105,0.16036778,0.287760175,81.20933878,91.81412928,36.75784132,246.9040895,-210.1462482,0.501445115,3.380262282,-2.878817167,-2.810743813,-0.038286607,-556.4288086,0.989254079,64.5,0.754166667,6.1,0.245833333,2,0.010745921,0.7,0.913768775,0.989254079,0.949937944,0.365158363,0.71918512,0.940076493,0.907219548,0.672132136,0.327867864,0.092780452,0.884788331,0.907219548,0.883998787,0.365158363,0.71918512,0.886344503,0.650924683,0.907219548,0.406,0.0127,0.4046875,0.009375,404.6875,9.375,3119187.2,62760.1,8224.9,97.4120696,76.60218438,?,-1
abelha_anomalia_12h_k11,10,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.11684E+18,10,2.02E+07,659.7,73.3,66.3,7,0,90.4498334,9.550166605,0,0.289035332,0.159805813,0.287173625,80.90009246,91.58684137,36.75784132,138.8107627,-102.0529214,0.501445115,1.899884802,-1.398439687,-2.760052671,-0.037765402,-546.8796781,0.989300699,64.5,0.776388889,6.3,0.223611111,1.8,0.010699301,0.7,0.911302011,0.989300699,0.948544576,0.354946195,0.746840521,0.952278085,0.904498334,0.691586524,0.308413476,0.095501666,0.891457464,0.904498334,0.878852652,0.354946195,0.746840521,0.898306174,0.634011993,0.904498334,0.4019,0.0147,0.4,0.0140625,400,14.0625,3118893.4,62760.1,8224.9,97.81192151,76.39207701,?,-1
