Key_Dataset,Key_Run,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Num_Fold,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
abelha_anomalia_12h_k11,1,weka.classifiers.functions.LibSVM,"'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model \""C:\\\\Program Files\\\\Weka-3-8\"" -seed 1'",14172,10,2.02E+07,659.7,73.3,65.2,8.1,0,88.95038874,11.04961126,0,0,0.110496113,0.332363535,55.93247052,106.0203682,36.75784132,8699.4,-8662.642159,0.501445115,118.6728249,-118.1713798,9.755933339,0.13310008,1931.950859,1,65.2,1,8.1,0,0,0,0,0.889503887,1,0.941516898,0,0.5,0.889503887,0.889503887,0.889503887,0.110496113,0.110496113,0.79123126,0.889503887,0.837490877,0,0.5,0.803454745,0.470758449,0.889503887,0.1375,0.0194,0.128125,0.0125,128.125,12.5,88657.2,62760.1,8224.9,88.95038874,50,?
abelha_anomalia_12h_k11,2,weka.classifiers.functions.LibSVM,"'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model \""C:\\\\Program Files\\\\Weka-3-8\"" -seed 1'",14172,10,2.02E+07,659.7,73.3,65.2,8.1,0,88.95038874,11.04961126,0,0,0.110496113,0.332363535,55.93247052,106.0203682,36.75784132,8699.4,-8662.642159,0.501445115,118.6728249,-118.1713798,9.755933339,0.13310008,1931.950859,1,65.2,1,8.1,0,0,0,0,0.889503887,1,0.941516898,0,0.5,0.889503887,0.889503887,0.889503887,0.110496113,0.110496113,0.79123126,0.889503887,0.837490877,0,0.5,0.803454745,0.470758449,0.889503887,0.1352,0.0132,0.1265625,0.0125,126.5625,12.5,88705.6,62760.1,8224.9,88.95038874,50,?
abelha_anomalia_12h_k11,3,weka.classifiers.functions.LibSVM,"'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model \""C:\\\\Program Files\\\\Weka-3-8\"" -seed 1'",14172,10,2.02E+07,659.7,73.3,65.2,8.1,0,88.95038874,11.04961126,0,0,0.110496113,0.332363535,55.93247052,106.0203682,36.75784132,8699.4,-8662.642159,0.501445115,118.6728249,-118.1713798,9.755933339,0.13310008,1931.950859,1,65.2,1,8.1,0,0,0,0,0.889503887,1,0.941516898,0,0.5,0.889503887,0.889503887,0.889503887,0.110496113,0.110496113,0.79123126,0.889503887,0.837490877,0,0.5,0.803454745,0.470758449,0.889503887,0.1254,0.013,0.1265625,0.0140625,126.5625,14.0625,88638.4,62760.1,8224.9,88.95038874,50,?
abelha_anomalia_12h_k11,4,weka.classifiers.functions.LibSVM,"'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model \""C:\\\\Program Files\\\\Weka-3-8\"" -seed 1'",14172,10,2.02E+07,659.7,73.3,65.2,8.1,0,88.95038874,11.04961126,0,0,0.110496113,0.332363535,55.93247052,106.0203682,36.75784132,8699.4,-8662.642159,0.501445115,118.6728249,-118.1713798,9.755933339,0.13310008,1931.950859,1,65.2,1,8.1,0,0,0,0,0.889503887,1,0.941516898,0,0.5,0.889503887,0.889503887,0.889503887,0.110496113,0.110496113,0.79123126,0.889503887,0.837490877,0,0.5,0.803454745,0.470758449,0.889503887,0.1411,0.0131,0.1234375,0.0109375,123.4375,10.9375,88660.8,62760.1,8224.9,88.95038874,50,?
abelha_anomalia_12h_k11,5,weka.classifiers.functions.LibSVM,"'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model \""C:\\\\Program Files\\\\Weka-3-8\"" -seed 1'",14172,10,2.02E+07,659.7,73.3,65.2,8.1,0,88.95038874,11.04961126,0,0,0.110496113,0.332363535,55.93247052,106.0203682,36.75784132,8699.4,-8662.642159,0.501445115,118.6728249,-118.1713798,9.755933339,0.13310008,1931.950859,1,65.2,1,8.1,0,0,0,0,0.889503887,1,0.941516898,0,0.5,0.889503887,0.889503887,0.889503887,0.110496113,0.110496113,0.79123126,0.889503887,0.837490877,0,0.5,0.803454745,0.470758449,0.889503887,0.1359,0.0125,0.1234375,0.0109375,123.4375,10.9375,88660.8,62760.1,8224.9,88.95038874,50,?
abelha_anomalia_12h_k11,6,weka.classifiers.functions.LibSVM,"'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model \""C:\\\\Program Files\\\\Weka-3-8\"" -seed 1'",14172,10,2.02E+07,659.7,73.3,65.2,8.1,0,88.95038874,11.04961126,0,0,0.110496113,0.332363535,55.93247052,106.0203682,36.75784132,8699.4,-8662.642159,0.501445115,118.6728249,-118.1713798,9.755933339,0.13310008,1931.950859,1,65.2,1,8.1,0,0,0,0,0.889503887,1,0.941516898,0,0.5,0.889503887,0.889503887,0.889503887,0.110496113,0.110496113,0.79123126,0.889503887,0.837490877,0,0.5,0.803454745,0.470758449,0.889503887,0.1241,0.0124,0.1234375,0.009375,123.4375,9.375,88660.8,62760.1,8224.9,88.95038874,50,?
abelha_anomalia_12h_k11,7,weka.classifiers.functions.LibSVM,"'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model \""C:\\\\Program Files\\\\Weka-3-8\"" -seed 1'",14172,10,2.02E+07,659.7,73.3,65.2,8.1,0,88.95038874,11.04961126,0,0,0.110496113,0.332363535,55.93247052,106.0203682,36.75784132,8699.4,-8662.642159,0.501445115,118.6728249,-118.1713798,9.755933339,0.13310008,1931.950859,1,65.2,1,8.1,0,0,0,0,0.889503887,1,0.941516898,0,0.5,0.889503887,0.889503887,0.889503887,0.110496113,0.110496113,0.79123126,0.889503887,0.837490877,0,0.5,0.803454745,0.470758449,0.889503887,0.126,0.0124,0.1234375,0.0125,123.4375,12.5,88746.4,62760.1,8224.9,88.95038874,50,?
abelha_anomalia_12h_k11,8,weka.classifiers.functions.LibSVM,"'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model \""C:\\\\Program Files\\\\Weka-3-8\"" -seed 1'",14172,10,2.02E+07,659.7,73.3,65.2,8.1,0,88.95038874,11.04961126,0,0,0.110496113,0.332363535,55.93247052,106.0203682,36.75784132,8699.4,-8662.642159,0.501445115,118.6728249,-118.1713798,9.755933339,0.13310008,1931.950859,1,65.2,1,8.1,0,0,0,0,0.889503887,1,0.941516898,0,0.5,0.889503887,0.889503887,0.889503887,0.110496113,0.110496113,0.79123126,0.889503887,0.837490877,0,0.5,0.803454745,0.470758449,0.889503887,0.1183,0.0122,0.11875,0.0109375,118.75,10.9375,88709.2,62760.1,8224.9,88.95038874,50,?
abelha_anomalia_12h_k11,9,weka.classifiers.functions.LibSVM,"'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model \""C:\\\\Program Files\\\\Weka-3-8\"" -seed 1'",14172,10,2.02E+07,659.7,73.3,65.2,8.1,0,88.95038874,11.04961126,0,0,0.110496113,0.332363535,55.93247052,106.0203682,36.75784132,8699.4,-8662.642159,0.501445115,118.6728249,-118.1713798,9.755933339,0.13310008,1931.950859,1,65.2,1,8.1,0,0,0,0,0.889503887,1,0.941516898,0,0.5,0.889503887,0.889503887,0.889503887,0.110496113,0.110496113,0.79123126,0.889503887,0.837490877,0,0.5,0.803454745,0.470758449,0.889503887,0.1223,0.0127,0.121875,0.0109375,121.875,10.9375,88686.8,62760.1,8224.9,88.95038874,50,?
abelha_anomalia_12h_k11,10,weka.classifiers.functions.LibSVM,"'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model \""C:\\\\Program Files\\\\Weka-3-8\"" -seed 1'",14172,10,2.02E+07,659.7,73.3,65.2,8.1,0,88.95038874,11.04961126,0,0,0.110496113,0.332363535,55.93247052,106.0203682,36.75784132,8699.4,-8662.642159,0.501445115,118.6728249,-118.1713798,9.755933339,0.13310008,1931.950859,1,65.2,1,8.1,0,0,0,0,0.889503887,1,0.941516898,0,0.5,0.889503887,0.889503887,0.889503887,0.110496113,0.110496113,0.79123126,0.889503887,0.837490877,0,0.5,0.803454745,0.470758449,0.889503887,0.1224,0.0129,0.121875,0.0109375,121.875,10.9375,88694.4,62760.1,8224.9,88.95038874,50,?
