hora,temp,press,ventvel,rad,chuva,act,classe
0,22.9,1010.1,0,-3.54,0,0.023,normal
1,22.8,1009.5,0,-3.54,0,0.028,normal
2,22.9,1009.6,0,-3.54,0,0.092,normal
3,22.6,1009.6,0,-3.54,0,0.161,normal
4,22.9,1009.9,0,33.98,0,0.276,normal
5,24.5,1010.8,0.8,154.7,0,0.618,normal
6,26.7,1011.3,1.6,297.8,0,1.06,normal
7,28.2,1011.3,1.2,817.2,0,1.24,normal
8,29.4,1010.9,1.8,2417,0,1.217,normal
9,30.3,1010.5,2.1,2917,0,1.346,normal
10,31,1010,1.6,3236,0,1.207,normal
11,32,1009,3,3123,0,1.166,normal
12,31.7,1008.3,2.2,2382,0,1.175,normal
13,31.6,1007.9,1.2,1900,0,0.691,normal
14,30.9,1007.9,1.6,1106,0,0.581,normal
15,29.6,1008.4,0,203,0,0.456,normal
16,28.2,1009.1,1.1,8.333,0,0.416,normal
17,27.6,1009.6,0.8,-3.54,0,0.382,normal
18,27.1,1010.5,0.7,-3.54,0,0.06,normal
19,26.7,1011,1.1,-3.35,0,0.009,normal
20,26.2,1011.3,0.5,-3.5,0,0.046,normal
21,25.6,1011.2,0.5,-3.52,0,0.005,normal
22,25.1,1010.4,0.1,-3.54,0,0.037,normal
23,24.6,1009.6,0,-3.54,0,0.065,normal
0,24.4,1008.9,0,-3.54,0,0.019,normal
1,23.6,1008.3,0,-3.54,0,0.019,normal
2,23.5,1008.4,0,-3.54,0,0.019,normal
3,23.3,1008.7,0,-3.54,0,0.019,normal
4,23.6,1009,0,32.34,0,0.019,anormal
5,25.8,1009.8,0.1,121.8,0,0.876,normal
6,28.2,1010.2,0.6,176.5,0,1.329,normal
7,29.4,1010.5,1.4,675.9,0,1.314,normal
8,30.4,1010.4,1.5,2524,0,1.433,normal
9,30.9,1009.8,2.4,3033,0,1.114,normal
10,30.5,1009.1,1.7,2190,0,1.097,normal
11,32,1008.3,1.9,2658,0,0.943,normal
12,32.2,1007.8,1.8,2155,0,0.865,normal
13,31,1007.8,0.1,1026,0,0.7,normal
14,29.8,1007.8,1.8,860.2,0,0.429,normal
