hora,temp,press,ventvel,rad,chuva,act,classe
0,229,10101,0,-354,0,23,normal
1,228,10095,0,-354,0,28,normal
2,229,10096,0,-354,0,92,normal
3,226,10096,0,-354,0,161,normal
4,229,10099,0,3398,0,276,normal
5,245,10108,8,1547,0,618,normal
6,267,10113,16,2978,0,106,normal
7,282,10113,12,8172,0,124,normal
8,294,10109,18,2417,0,1217,normal
9,303,10105,21,2917,0,1346,normal
10,31,1010,16,3236,0,1207,anormal
11,32,1009,3,3123,0,1166,normal
12,317,10083,22,2382,0,1175,normal
13,316,10079,12,1900,0,691,normal
14,309,10079,16,1106,0,581,normal
15,296,10084,0,203,0,456,anormal
16,282,10091,11,8333,0,416,anormal
17,276,10096,8,-354,0,382,anormal
18,271,10105,7,-354,0,6,anormal
19,267,1011,11,-335,0,9,normal
20,262,10113,5,-35,0,46,normal
21,256,10112,5,-352,0,5,normal
22,251,10104,1,-354,0,37,normal
23,246,10096,0,-354,0,65,normal
0,244,10089,0,-354,0,19,normal
1,236,10083,0,-354,0,19,normal
2,235,10084,0,-354,0,19,normal
3,233,10087,0,-354,0,19,normal
4,236,1009,0,3234,0,19,normal
5,258,10098,1,1218,0,876,normal
6,282,10102,6,1765,0,1329,normal
7,294,10105,14,6759,0,1314,normal
8,304,10104,15,2524,0,1433,normal
9,309,10098,24,3033,0,1114,normal
10,305,10091,17,2190,0,1097,normal
11,32,10083,19,2658,0,943,normal
12,322,10078,18,2155,0,865,normal
13,31,10078,1,1026,0,7,normal
14,298,10078,18,8602,0,429,normal
15,287,10083,18,1392,0,395,normal
16,281,10088,3,6313,0,408,anormal
17,277,10093,5,-354,0,124,normal
18,273,10103,5,-351,0,52,normal
19,265,10112,7,-348,0,48,normal
20,258,10117,4,-354,0,43,anormal
21,254,10115,9,-354,0,76,normal
22,251,10111,5,-354,0,129,normal
23,251,10101,7,-354,0,1,normal
0,249,10099,9,-354,0,64,normal
1,245,10096,4,-354,0,54,normal
2,243,10098,4,-354,0,139,normal
3,241,1010,2,-354,0,411,normal
4,246,10101,7,3072,0,639,normal
5,262,10108,1,1204,0,1302,normal
6,287,10113,14,1842,0,145,normal
7,294,10116,2,7704,0,1356,anormal
8,306,10115,13,2358,0,1168,normal
9,316,10113,17,2792,0,104,normal
10,312,10105,2,2824,0,792,normal
11,325,10099,14,2842,0,651,normal
